T,TM,Tm,H,PP,VV,V,VM,PM 2.5
8.0,14.6,2.0,87.0,2.54,8.2,7.6,13.0,62.0
5.3,9.0,1.6,92.0,0.0,8.5,11.5,18.3,62.0
-0.6,5.0,-4.0,93.0,0.0,6.3,5.2,13.0,82.0
-1.6,0.3,-5.2,92.0,0.0,5.6,8.9,18.3,96.0
0.8,4.4,-3.0,90.0,0.0,4.8,13.9,24.1,104.0
1.7,9.0,-4.8,78.0,0.0,6.4,14.1,20.6,96.0
-0.1,7.0,-5.0,91.0,0.0,4.2,7.6,18.3,109.0
4.2,10.4,-0.2,66.0,0.0,11.6,17.8,27.8,103.0
-0.1,3.0,-2.0,91.0,0.0,7.2,10.6,24.1,111.0
1.8,4.0,0.2,96.0,4.06,4.5,2.6,7.6,132.0
1.1,4.0,-1.7,94.0,0.0,4.8,6.5,13.0,125.0
5.6,9.3,1.5,84.0,0.0,10.5,7.2,20.6,106.0
5.6,8.1,-1.0,89.0,0.0,10.6,8.0,14.8,109.0
3.9,7.9,-1.0,93.0,0.0,9.0,9.3,16.5,91.0
-0.3,7.7,-5.0,89.0,0.0,6.0,10.4,18.3,120.0
-0.4,2.1,-3.5,87.0,0.0,9.3,11.3,20.6,124.0
-1.2,0.0,-2.0,93.0,0.0,8.0,13.9,22.2,100.0
-5.3,-1.0,-8.6,78.0,0.0,9.8,7.4,29.4,42.0
-0.8,0.0,-5.6,79.0,0.0,9.3,10.2,18.3,94.0
-1.5,1.0,-5.5,88.0,0.25,9.5,7.2,22.2,115.0
2.4,10.5,-0.1,81.0,2.79,11.6,13.7,29.4,93.0
-1.4,1.0,-8.0,93.0,2.03,7.1,10.0,27.8,23.0
-1.9,1.0,-8.2,86.0,3.3,10.0,9.8,25.9,26.0
-7.4,0.0,-12.4,83.0,0.0,6.3,6.5,13.0,85.0
-5.2,1.0,-12.5,83.0,0.0,6.9,12.8,24.1,103.0
-2.9,3.5,-8.3,80.0,0.0,6.8,11.5,22.2,119.0
-4.7,-2.8,-8.0,86.0,0.0,5.3,9.1,18.3,150.0
-2.6,1.3,-8.8,82.0,0.0,5.1,13.1,25.9,152.0
2.8,9.3,-2.1,73.0,0.0,7.4,16.5,22.2,152.0
6.6,10.5,4.7,94.0,4.83,6.3,9.6,13.0,127.0
8.7,13.3,4.3,88.0,0.0,7.2,13.0,25.9,119.0
10.2,15.0,1.4,73.0,0.0,9.8,10.0,24.1,92.0
5.9,14.0,0.8,88.0,12.19,12.6,10.6,29.4,45.0
4.2,6.0,-0.2,93.0,0.0,7.1,5.6,13.0,26.0
4.8,6.0,3.5,91.0,2.29,9.3,20.6,33.5,46.0
3.6,5.0,1.0,91.0,2.79,6.8,10.9,22.2,37.0
8.4,15.0,3.6,71.0,0.25,9.2,13.9,25.9,74.0
8.6,15.1,2.0,71.0,0.0,11.3,10.9,18.3,101.0
5.0,15.0,-2.4,72.0,0.0,7.6,8.9,18.3,59.0
5.8,12.0,-2.1,73.0,0.0,11.4,6.5,18.3,62.0
8.8,13.4,3.6,84.0,0.0,9.7,4.6,16.5,59.0
3.2,9.0,-2.0,78.0,0.0,11.9,10.4,29.4,36.0
8.3,15.0,0.2,69.0,0.0,10.1,14.1,35.2,60.0
5.8,9.3,-0.4,68.0,4.83,11.9,10.0,18.3,17.0
6.7,11.4,0.0,82.0,1.27,12.1,8.7,22.2,18.0
